,text,label
0,"Могу сказать точно, что книга хотя бы лучше фильма. Но все так банально и нереалистично. Книга ничему научить не может, если только тому, что за любовь можно отдать жизнь. Но я думаю это не в плюс. Однако много людей с ума сходят от этой невероятной любви. Есть и получше книги про любовь. Лично меня заинтересовали вампиры, кто они и как вообще живут:).",0
1,"Можно сказать - всё смешалось в доме облонских... кто кого танцевал, кто кого производил? дружба бывших, практически кровных, врагов.... развитие событий с участием юного поколения - чушь какая то, для меня... попытки автора ещё dough-фунтов нарубить.... и так она чрезмерно ""старается"". .. раз уж чуть было не сделала Дамбдора голубятней - требовала ""публика"" ""особая""уже после издания произведения... А всего лишь, сводилось по произведениям, жизнь и его разборки с бывшим другом: They say, still, ",0
2,"Очень поучительная книга о взаимоотношениях мужчины и женщины, можно было бы отнести эту книгу к разряду учебников, но к сожалению мало когда в отношениях готовы работать оба партнера, в большинстве случаев меняться готов только один. Если Вы созрели до понимания того, что ради сохранения отношений Вам надо пересмотреть понимание жизни и поступков партнера, и в первую очередь готовы изменить свое поведение и лексикон, то это книга специально для Вас. Читайте, вникайте и меняйтесь, а глядя на Вас",0
3,"Книга очень интересна! Читается легко! Захватывающая! Изначально автор рассказывает про вполне реальные вещи, к середине начинаешь верить в чудеса и реальность больше похожа на сказку. Сказку, которую можно воплотить в свою жизнь.  До сих пор не могу понять где же вымысел и фантазия автора, а где истина. Идея, про дворовое поместье каждому человеку, конечно восхитительна! Читаешь книгу и есть желание бросить свою нынешнюю жизнь со всей суетой и начать жить отшельником.... и на это я так понимаю ",0
4,"Вторая часть «Сумеречной саги», второй роман. Если первая книга преимущественно была посвящена становлению взаимоотношений простой семнадцатилетний девушки с вампиром, то ключевым моментом «Новолуния» становится превращение лучшего друга героини в оборотня. Ситуация усугубляется тем, что ее «молодой человек» принимает довольно странное решение: пытаясь защитить возлюбленную, он ее просто бросает. Окончательно. Не присматривает за ней, не просит помощи у своей семьи – просто уходит. И так не очен",0
5,"Когда подруга выбирала для меня книгу, продавцу в магазине она сказал, что я люблю что-то необычное, что-то запоминающееся и что бы оставляло след в памяти. Да, эта книга след оставила, но неприятны, противный след который хочется скорей забыть. Честно говоря я поражаюсь авторам которые имеют такое больное воображение. Плюс ко всему написана книга в скучном до ужаса изложении. После прочтения мной, прочли ее еще две мои подруги, просто ради меня, так как я казала, что это ужас, но о ней есть мно",0
6,"Книга интересная, читала с удовольствием но курить я бросила лишь на время. Спустя месяц по немногу начала курить снова.",0
7,"Книга ""Любовница демона"" Стрельниковой  Киры одно из худших ее произведений. Это даже не фэнтези, а сплошной сопливый любовный роман. Она вся такая овечка, а он Демон и тут... любовь! И всю книгу они любят, любят, любят..... Противно. Можно мотать книгу прям десятками страниц-ничего не пропустишь.",0
8,"«Ледяной город» К. Д. Фаулер – странная книга, это словно бы часть, вырванная из большого произведения. Сюжет очень размыт. Его завязка – приезд героини, Римы, в дом своей крестной матери, писательницы Аддисон Эрли. Попытка двух женщин найти общий язык, притереться друг к другу, попытки героини выяснить, какие отношения связывали крестную и отца – вот, собственно, и вся сюжетная линия – вялая, размытая, смазанная, насыщенная множеством деталей (например, героиня читает письма, написанные поклонн",0
9,"Прочитала только первую часть романа. Честно скажу- не впечатлило... Обычный эротический рассказ, каких написано итак слишком много. Ничего запоминающегося тоже нет, а вообще я бы скорее отнесла это произведение к жанру фантастики. Ну не сказка ли милиардер в 27 лет, встречает девушку-простушку, засыпает ее подарками и постепенно влюбляется в неё без памяти... Если бы не сцены БДСМ, то это был бы просто романчик-пустышка с соплями и слезами.",0
10,"Сказка конечно интригует, написана достаточно простым и легким языком, что помогает восприятию, в принципе. Не имеет возрастного ограничения, как такого. По мне, так ее можно читать, как в малом возрасте, своему ребенку, так и уже в весьма взрослом. История затягивает, заставляя переживать, ожидать развития. В целом, неплохая.",0
11,"Вообще то эта книга стала уже перебором. Это надо быть бесбашенной поклонницей что бы купить книгу в которой все просто ""слизано"" с интернета. Правда к ней прилагается плакат. который в принципе можно купить за какие то 30 рублей в журнале. Если бы не его роль вампира Эдварда, не думаю что он так бы прославился.",0
